LEAVING COND WATER TEMP.suministro condensador ch3 (deg F);CONDENSER PRESSURE.presion de Condensador (psi);EVAPORATOR PRESSURE.Presion Evaporador (psi);ENTERING COND WATER TEMP.retorno condensador ch3 (deg F);ENTERING CHW TEMP.retorno ch3 (deg F);LEAVING CHW TEMP.suministro ch3 (deg F);DISCHARGE TEMP.Temperatura Descarga (deg F);OIL SUMP TEMPERATURE.temperatura deposito aceite (deg F);EVAP SATURATION TEMP.Temperatura Saturacion Evaporador (deg F);COND SATURATION TEMP.Temperatura Saturacion Condensacion (deg F);OIL SUMP PRESSURE.Presion deposito aceite (psi);MOTOR CURRENT PCT FLA.% FLA CHILLER (%)
82.7;89.6;39.9;80.0;50.8;48.5;106.6;128.9;48.7;79.0;39.3;40.0
82.7;85.9;44.1;80.0;50.9;48.5;107.0;130.0;46.7;82.6;34.8;41.0
82.7;92.0;39.5;80.0;51.1;48.7;105.2;130.3;47.9;82.2;37.5;44.0
83.7;92.0;40.4;80.1;50.8;48.6;106.2;129.6;44.4;80.3;35.8;40.0
83.8;90.9;42.6;80.1;50.7;47.5;105.7;129.7;45.4;83.6;37.7;46.0
83.7;87.1;39.7;80.1;50.9;48.9;106.0;129.3;49.2;81.0;39.9;47.0
82.6;86.2;43.7;80.1;50.8;48.7;105.0;129.0;46.8;79.5;39.0;47.0
83.6;85.3;44.4;80.1;50.9;49.1;104.5;129.3;44.2;81.2;35.5;45.0
83.8;86.0;40.0;80.1;51.1;48.0;105.2;129.3;46.4;80.3;38.1;46.0
83.9;88.4;41.0;80.1;51.6;49.2;106.2;129.4;44.9;81.7;39.5;44.0
83.8;93.1;39.4;80.1;51.2;48.9;104.2;129.1;44.2;81.3;38.5;44.0
83.8;92.3;40.0;80.1;50.9;48.6;104.0;128.4;48.1;81.4;35.0;40.0
83.6;90.2;39.8;80.1;51.0;48.0;104.8;128.6;45.8;80.3;39.9;40.0
83.9;91.9;39.6;80.0;51.2;46.7;103.0;128.6;44.5;83.0;37.2;37.0
83.7;86.7;42.8;80.0;51.1;47.6;104.6;127.9;45.0;83.2;37.0;35.0
82.6;84.6;40.0;80.0;51.2;48.8;106.0;128.2;45.5;80.4;38.8;36.0
83.7;84.2;44.0;80.0;51.1;48.6;104.6;128.8;47.1;82.6;39.9;35.0
82.6;89.4;40.2;80.0;51.1;48.1;102.5;127.9;46.4;80.8;37.6;35.0
82.8;89.0;42.3;80.2;50.9;49.5;104.9;127.6;49.1;80.2;37.3;35.0
82.8;84.6;46.8;80.2;51.2;48.3;104.6;128.3;46.3;81.6;36.5;32.0
82.8;91.3;39.6;80.2;51.5;49.1;102.7;128.0;48.9;79.6;38.0;31.0
82.8;91.2;40.8;80.2;51.1;48.1;103.4;127.3;45.0;81.3;36.3;31.0
82.8;88.4;40.1;80.2;51.2;49.3;103.7;127.6;45.0;78.8;39.2;33.0
83.1;91.6;40.6;80.1;51.1;48.5;102.3;127.5;45.5;82.9;35.9;29.0
83.1;90.8;42.0;80.1;50.9;49.3;103.5;127.1;48.9;80.7;37.2;29.0
83.1;87.5;43.6;80.1;51.1;47.3;105.2;127.7;46.3;80.1;33.8;33.0
83.1;88.8;44.2;80.1;50.8;48.4;104.0;127.8;44.7;81.4;33.9;38.0
83.1;85.0;39.6;80.1;51.1;48.8;104.0;128.0;48.5;78.8;39.1;40.0
82.9;95.9;36.7;80.0;50.1;44.2;100.2;127.3;43.3;85.6;34.2;39.0
82.9;96.9;37.4;80.0;50.0;44.0;98.8;124.8;42.5;85.8;36.7;42.0
82.9;97.2;37.4;80.0;50.0;44.0;98.5;123.5;42.4;85.8;36.7;41.0
